model,mean_diff_vs_static,t,p
catboost_baseline_tuned,0.044814977452286145,3.6206186084092127,0.0005240439497953994
compositional_hawkes,0.03637356171402037,3.9690543245672156,0.0001607965143319965
dynamic_baseline_marked_hawkes,0.04574929326045821,2.3191269410573234,0.023041566228623175
multitask_elastic_net_tuned,0.027132023301605593,1.4995565096483134,0.13781841976419432
poisson,0.016862452406442886,0.8540687975795234,0.39571618614798015
regularised_marked_hawkes_tuned,0.05263721226425007,5.289882434111382,1.1148427972159655e-06
