disp,Reliability,Bias & Fairness,"Privacy, Confidentiality & Infringement",Security & Misuse,Autonomous Actions,"Governance, Oversight & Explainability"
Dynamic Hawkes,0.08158973737513192,0.08508262210851426,0.09379920877441118,0.13220709184851018,0.09521116710067769,0.06221596636543331
Marked Hawkes,0.08191952522823001,0.09103753063271607,0.09269902898143319,0.1361556909198479,0.0915436919300019,0.06112732895925678
CatBoost,0.08697495482858472,0.09013234233074373,0.08720132218489951,0.13501602152181114,0.08973815371187582,0.06776882334845014
Offset Poisson,0.08151050337167126,0.08615834354200243,0.09695371651156333,0.1453248137038826,0.09837506416141635,0.07027383207715962
Compositional Hawkes,0.08180607006609535,0.08956418176461776,0.09257150219133614,0.15005311256263404,0.09935478852276876,0.0653740808564776
Elastic Net,0.09048892790850215,0.08014677149921647,0.10674242487585688,0.1306646729265235,0.11012896375873132,0.07011112602428035
Static baseline,0.08023700548102856,0.10694614270683712,0.10258598644824045,0.1786711665859219,0.1070355913130776,0.06145638399272799
