model,fold,mae,rmse
regularised_marked_hawkes_tuned,2020-H1,0.16493145005488782,0.20999858283853678
regularised_marked_hawkes_tuned,2020-H2,0.1064639270219491,0.13527853987861593
regularised_marked_hawkes_tuned,2021-H1,0.11821293871506253,0.14063698401601024
regularised_marked_hawkes_tuned,2021-H2,0.11679774817237898,0.1333862818318179
regularised_marked_hawkes_tuned,2022-H1,0.08112471657033041,0.09583675077237944
regularised_marked_hawkes_tuned,2022-H2,0.10065892741503829,0.12981375779338777
regularised_marked_hawkes_tuned,2023-H1,0.09975976998669704,0.14245329949900293
regularised_marked_hawkes_tuned,2023-H2,0.10074342629603056,0.1264547865077751
regularised_marked_hawkes_tuned,2024-H1,0.08070656999095958,0.11075732461238821
regularised_marked_hawkes_tuned,2024-H2,0.06486898485453706,0.09367606920593329
regularised_marked_hawkes_tuned,2025-H1,0.06144047767335245,0.07827894842648594
regularised_marked_hawkes_tuned,2025-H2,0.03453868314897651,0.041893843298178066
regularised_marked_hawkes_tuned,2026-H1,0.07113177284468576,0.08525608875500909
