model,fold,mae,rmse
multitask_elastic_net_tuned,2020-H1,0.1881465122771433,0.2391255962750274
multitask_elastic_net_tuned,2020-H2,0.11791750110335118,0.1415671315746147
multitask_elastic_net_tuned,2021-H1,0.10995321718177617,0.12955092970175724
multitask_elastic_net_tuned,2021-H2,0.1146487200854249,0.13424417968985888
multitask_elastic_net_tuned,2022-H1,0.09118936583155704,0.11376439534425024
multitask_elastic_net_tuned,2022-H2,0.10494373168672927,0.13161597988630191
multitask_elastic_net_tuned,2023-H1,0.10107647378745449,0.13400419257660226
multitask_elastic_net_tuned,2023-H2,0.11157696884590518,0.1557524739895214
multitask_elastic_net_tuned,2024-H1,0.0805425825082997,0.10481100097486082
multitask_elastic_net_tuned,2024-H2,0.06903649344203974,0.08420624929166715
multitask_elastic_net_tuned,2025-H1,0.05194000403246672,0.06566424001519389
multitask_elastic_net_tuned,2025-H2,0.05787789495537199,0.07793547856220773
multitask_elastic_net_tuned,2026-H1,0.07576345608088675,0.09317642677681821
